workerid,map,praise,trial
64,images/gen_models/gen_models.023.png,10,23
64,images/gen_models/gen_models.047.png,31,47
64,images/gen_models/gen_models.033.png,51,33
64,images/gen_models/gen_models.010.png,48,10
64,images/gen_models/gen_models.042.png,27,42
64,images/gen_models/gen_models.049.png,32,49
64,images/gen_models/gen_models.034.png,69,34
64,images/gen_models/gen_models.026.png,30,26
64,images/gen_models/gen_models.044.png,29,44
64,images/gen_models/gen_models.053.png,45,53
64,images/gen_models/gen_models.028.png,46,28
64,images/gen_models/gen_models.031.png,64,31
64,images/gen_models/gen_models.016.png,19,16
64,images/gen_models/gen_models.002.png,28,2
64,images/gen_models/gen_models.008.png,52,8
64,images/gen_models/gen_models.005.png,34,5
64,images/gen_models/gen_models.054.png,49,54
64,images/gen_models/gen_models.050.png,32,50
64,images/gen_models/gen_models.045.png,43,45
64,images/gen_models/gen_models.009.png,35,9
64,images/gen_models/gen_models.035.png,75,35
64,images/gen_models/gen_models.025.png,68,25
64,images/gen_models/gen_models.046.png,29,46
64,images/gen_models/gen_models.013.png,51,13
64,images/gen_models/gen_models.024.png,57,24
64,images/gen_models/gen_models.041.png,44,41
64,images/gen_models/gen_models.004.png,54,4
64,images/gen_models/gen_models.052.png,42,52
64,images/gen_models/gen_models.051.png,50,51
64,images/gen_models/gen_models.019.png,22,19
64,images/gen_models/gen_models.040.png,33,40
64,images/gen_models/gen_models.014.png,60,14
64,images/gen_models/gen_models.020.png,62,20
64,images/gen_models/gen_models.029.png,50,29
64,images/gen_models/gen_models.012.png,29,12
64,images/gen_models/gen_models.048.png,37,48
64,images/gen_models/gen_models.043.png,67,43
64,images/gen_models/gen_models.006.png,48,6
64,images/gen_models/gen_models.039.png,37,39
64,images/gen_models/gen_models.032.png,45,32
64,images/gen_models/gen_models.007.png,60,7
64,images/gen_models/gen_models.027.png,66,27
64,images/gen_models/gen_models.036.png,56,36
64,images/gen_models/gen_models.015.png,35,15
64,images/gen_models/gen_models.001.png,40,1
64,images/gen_models/gen_models.030.png,44,30
64,images/gen_models/gen_models.011.png,43,11
64,images/gen_models/gen_models.003.png,58,3
100,images/gen_models/gen_models.012.png,99,12
100,images/gen_models/gen_models.043.png,16,43
100,images/gen_models/gen_models.046.png,97,46
100,images/gen_models/gen_models.049.png,82,49
100,images/gen_models/gen_models.009.png,26,9
100,images/gen_models/gen_models.027.png,28,27
100,images/gen_models/gen_models.035.png,4,35
100,images/gen_models/gen_models.039.png,15,39
100,images/gen_models/gen_models.044.png,93,44
100,images/gen_models/gen_models.004.png,44,4
100,images/gen_models/gen_models.052.png,15,52
100,images/gen_models/gen_models.048.png,69,48
100,images/gen_models/gen_models.003.png,75,3
100,images/gen_models/gen_models.016.png,62,16
100,images/gen_models/gen_models.036.png,75,36
100,images/gen_models/gen_models.024.png,49,24
100,images/gen_models/gen_models.015.png,53,15
100,images/gen_models/gen_models.034.png,68,34
100,images/gen_models/gen_models.033.png,49,33
100,images/gen_models/gen_models.031.png,74,31
100,images/gen_models/gen_models.014.png,85,14
100,images/gen_models/gen_models.030.png,18,30
100,images/gen_models/gen_models.053.png,70,53
100,images/gen_models/gen_models.054.png,29,54
100,images/gen_models/gen_models.050.png,50,50
100,images/gen_models/gen_models.010.png,22,10
100,images/gen_models/gen_models.026.png,34,26
100,images/gen_models/gen_models.041.png,88,41
100,images/gen_models/gen_models.032.png,56,32
100,images/gen_models/gen_models.005.png,73,5
100,images/gen_models/gen_models.007.png,11,7
100,images/gen_models/gen_models.025.png,78,25
100,images/gen_models/gen_models.001.png,79,1
100,images/gen_models/gen_models.020.png,76,20
100,images/gen_models/gen_models.029.png,90,29
100,images/gen_models/gen_models.019.png,91,19
100,images/gen_models/gen_models.028.png,80,28
100,images/gen_models/gen_models.023.png,84,23
100,images/gen_models/gen_models.040.png,76,40
100,images/gen_models/gen_models.042.png,77,42
100,images/gen_models/gen_models.006.png,79,6
100,images/gen_models/gen_models.011.png,80,11
100,images/gen_models/gen_models.002.png,77,2
100,images/gen_models/gen_models.047.png,77,47
100,images/gen_models/gen_models.051.png,84,51
100,images/gen_models/gen_models.008.png,88,8
100,images/gen_models/gen_models.045.png,83,45
100,images/gen_models/gen_models.013.png,83,13
72,images/gen_models/gen_models.019.png,25,19
72,images/gen_models/gen_models.005.png,46,5
72,images/gen_models/gen_models.054.png,93,54
72,images/gen_models/gen_models.031.png,46,31
72,images/gen_models/gen_models.032.png,53,32
72,images/gen_models/gen_models.011.png,51,11
72,images/gen_models/gen_models.007.png,44,7
72,images/gen_models/gen_models.052.png,64,52
72,images/gen_models/gen_models.041.png,45,41
72,images/gen_models/gen_models.043.png,66,43
72,images/gen_models/gen_models.028.png,39,28
72,images/gen_models/gen_models.016.png,17,16
72,images/gen_models/gen_models.025.png,98,25
72,images/gen_models/gen_models.013.png,64,13
72,images/gen_models/gen_models.015.png,46,15
72,images/gen_models/gen_models.048.png,71,48
72,images/gen_models/gen_models.010.png,40,10
72,images/gen_models/gen_models.035.png,52,35
72,images/gen_models/gen_models.027.png,69,27
72,images/gen_models/gen_models.003.png,57,3
72,images/gen_models/gen_models.030.png,51,30
72,images/gen_models/gen_models.034.png,68,34
72,images/gen_models/gen_models.047.png,49,47
72,images/gen_models/gen_models.002.png,58,2
72,images/gen_models/gen_models.026.png,38,26
72,images/gen_models/gen_models.001.png,59,1
72,images/gen_models/gen_models.023.png,67,23
72,images/gen_models/gen_models.006.png,56,6
72,images/gen_models/gen_models.042.png,67,42
72,images/gen_models/gen_models.004.png,54,4
72,images/gen_models/gen_models.044.png,67,44
72,images/gen_models/gen_models.009.png,51,9
72,images/gen_models/gen_models.020.png,64,20
72,images/gen_models/gen_models.012.png,49,12
72,images/gen_models/gen_models.040.png,69,40
72,images/gen_models/gen_models.051.png,41,51
72,images/gen_models/gen_models.008.png,56,8
72,images/gen_models/gen_models.014.png,47,14
72,images/gen_models/gen_models.036.png,45,36
72,images/gen_models/gen_models.024.png,54,24
72,images/gen_models/gen_models.045.png,60,45
72,images/gen_models/gen_models.033.png,63,33
72,images/gen_models/gen_models.046.png,51,46
72,images/gen_models/gen_models.029.png,54,29
72,images/gen_models/gen_models.053.png,41,53
72,images/gen_models/gen_models.039.png,59,39
72,images/gen_models/gen_models.050.png,47,50
72,images/gen_models/gen_models.049.png,60,49
82,images/gen_models/gen_models.026.png,34,26
82,images/gen_models/gen_models.032.png,39,32
82,images/gen_models/gen_models.048.png,45,48
82,images/gen_models/gen_models.004.png,41,4
82,images/gen_models/gen_models.006.png,73,6
82,images/gen_models/gen_models.009.png,5,9
82,images/gen_models/gen_models.014.png,4,14
82,images/gen_models/gen_models.040.png,12,40
82,images/gen_models/gen_models.028.png,35,28
82,images/gen_models/gen_models.008.png,17,8
82,images/gen_models/gen_models.024.png,35,24
82,images/gen_models/gen_models.029.png,4,29
82,images/gen_models/gen_models.042.png,13,42
82,images/gen_models/gen_models.050.png,47,50
82,images/gen_models/gen_models.020.png,87,20
82,images/gen_models/gen_models.054.png,75,54
82,images/gen_models/gen_models.010.png,34,10
82,images/gen_models/gen_models.041.png,61,41
82,images/gen_models/gen_models.011.png,72,11
82,images/gen_models/gen_models.039.png,47,39
82,images/gen_models/gen_models.030.png,35,30
82,images/gen_models/gen_models.053.png,12,53
