User,Trial,Judgment
12_aCsfmdC,t1_a3b1c2_(0 0 0)_0,0.830164897163
13_nM7Ulbd,t1_a3b1c2_(0 0 0)_0,1.18728224767
11_rcfc5Hn,t1_a3b1c2_(0 0 0)_0,-1.1316246978
1_XpEAB0a,t1_a3b1c2_(0 0 0)_0,-1.1750820754
7_55PlNgN,t1_a3b1c2_(0 0 0)_0,-1.27101237867
38_vvGDkXs,t1_a3b1c2_(0 0 0)_0,-1.01615157262
41_z5b8QC0,t1_a3b1c2_(0 0 0)_0,1.10219787129
19_3r57o1N,t1_a3b1c2_(0 0 0)_0,-1.16645131433
28_FVoOI4J,t1_a3b1c2_(0 0 0)_0,-1.23645312665
44_svUoKpG,t1_a3b1c2_(0 0 0)_0,-0.589965413035
8_e2wx1lB,t1_a3b1c2_(0 0 0)_0,-0.94643324706
12_8eRL48P,t1_a3b1c2_(0 0 0)_0,-0.415636445141
14_WiZpRxB,t1_a3b1c2_(0 0 0)_0,-0.953274783098
17_CA5SQS6,t1_a3b1c2_(0 0 0)_0,-1.18610299909
35_G2aomnD,t1_a3b1c2_(0 0 0)_0,-1.37308750666
10_X9vJTMp,t1_a3b1c2_(0 0 0)_0,-1.23464701205
4_vG0Y4D5,t1_a3b1c2_(0 0 0)_0,-0.0936168322787
33_LIglyxa,t1_a3b1c2_(0 0 0)_0,-1.10216168388
23_Klle9hj,t1_a3b1c2_(0 0 0)_0,-0.971412133827
27_YV4XHoZ,t1_a3b1c2_(0 0 0)_0,-0.736126621759
12_aCsfmdC,t1_a3b1c2_(0 0 0)_1,0.785301869589
13_nM7Ulbd,t1_a3b1c2_(0 0 0)_1,1.18728224767
11_rcfc5Hn,t1_a3b1c2_(0 0 0)_1,1.69214471349
1_XpEAB0a,t1_a3b1c2_(0 0 0)_1,1.18573498393
7_55PlNgN,t1_a3b1c2_(0 0 0)_1,1.2761338196
38_vvGDkXs,t1_a3b1c2_(0 0 0)_1,0.365969139949
41_z5b8QC0,t1_a3b1c2_(0 0 0)_1,1.09307054474
19_3r57o1N,t1_a3b1c2_(0 0 0)_1,0.729641477712
